switching_cost_min,policy,mean_reward,std_reward
0,DRL(fixed c=2),1785.7333338057313,737.6553133295797
0,Greedy,4028.614677499754,1082.3037274138028
0,Hybrid(m=15),4020.1762412103017,1077.150108549704
0,Random,-1310.6837942620973,240.66544312930705
1,DRL(fixed c=2),1785.7333338057313,737.6553133295797
1,Greedy,4028.614677499754,1082.3037274138028
1,Hybrid(m=15),4020.1762412103017,1077.150108549704
1,Random,-1297.2664325784247,285.8350565553009
2,DRL(fixed c=2),1479.3362928364063,624.7338969009139
2,Greedy,3275.8984306267735,923.2459199306701
2,Hybrid(m=15),3254.5043394217787,909.7532091296429
2,Random,-219.57778705097994,149.29357886214652
3,DRL(fixed c=2),958.9588773857917,418.1940947232369
3,Greedy,2043.6837755815875,633.6039403040403
3,Hybrid(m=15),2038.9049763126663,630.3988989443747
3,Random,-14.756641270664426,76.58311829205738
4,DRL(fixed c=2),355.8160609290979,174.6432133602048
4,Greedy,733.7333680541626,285.8148654463496
4,Hybrid(m=15),736.1912941295064,283.8481645041841
4,Random,-9.7,5.225897052181568
6,DRL(fixed c=2),0.0,0.0
6,Greedy,0.0,0.0
6,Hybrid(m=15),0.0,0.0
6,Random,-0.15,0.3570714214271425
